word,category,difficulty,hint,word_type
text,education,hard,No hint available.,noun
quiz,education,hard,No hint available.,noun
book,education,hard,No hint available.,noun
test,education,hard,No hint available.,noun
exam,education,hard,No hint available.,noun
math,education,hard,No hint available.,noun
logic,education,hard,No hint available.,noun
pupil,education,hard,No hint available.,noun
course,education,hard,No hint available.,noun
teach,education,hard,No hint available.,noun
school,education,hard,No hint available.,noun
tree,nature,easy,No hint available.,noun
leaf,nature,hard,No hint available.,noun
lake,nature,hard,No hint available.,noun
hill,nature,hard,No hint available.,noun
river,nature,hard,No hint available.,noun
bush,nature,medium,No hint available.,noun
storm,nature,hard,No hint available.,noun
wind,nature,hard,No hint available.,noun
sky,nature,hard,No hint available.,noun
flower,nature,easy,No hint available.,noun
root,nature,hard,No hint available.,noun
earth,nature,hard,No hint available.,noun
bird,nature,hard,No hint available.,noun
cloud,nature,medium,A mass of water vapor in the sky.,noun
rock,nature,hard,No hint available.,noun
